latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
-6.98311,-42.88001,297.78,0.73,0.76,2026-06-08,325,N,VIIRS,n,2.0NRT,283.87,2.73,N
-6.98186,-42.88663,305.21,0.73,0.76,2026-06-08,325,N,VIIRS,n,2.0NRT,285.4,2.73,N
-6.98017,-42.87912,299.46,0.72,0.76,2026-06-08,325,N,VIIRS,n,2.0NRT,284.71,4.15,N
-6.97889,-42.88566,301.1,0.73,0.76,2026-06-08,325,N,VIIRS,n,2.0NRT,285.83,7.41,N
-5.51961,-37.48548,318.88,0.34,0.56,2026-06-08,325,N,VIIRS,n,2.0NRT,288.34,1.11,N
-5.51907,-37.48854,311.61,0.34,0.56,2026-06-08,325,N,VIIRS,n,2.0NRT,287.23,1.11,N
-12.40098,-38.34719,307.12,0.59,0.53,2026-06-08,328,N,VIIRS,n,2.0NRT,290.17,2.13,N
-12.39716,-38.34076,301.53,0.59,0.53,2026-06-08,328,N,VIIRS,n,2.0NRT,289.44,1.92,N
-12.39612,-38.34626,313.78,0.59,0.53,2026-06-08,328,N,VIIRS,n,2.0NRT,289.55,2.13,N
-11.02813,-44.32326,310.52,0.76,0.77,2026-06-08,328,N,VIIRS,n,2.0NRT,287.25,3.71,N
-11.0281,-44.31644,303.53,0.76,0.77,2026-06-08,328,N,VIIRS,n,2.0NRT,287.18,2.26,N
-11.0266,-44.3236,297.1,0.76,0.77,2026-06-08,328,N,VIIRS,n,2.0NRT,286.84,2.84,N
-10.69567,-37.05204,302.29,0.52,0.5,2026-06-08,328,N,VIIRS,n,2.0NRT,288.83,1.02,N
-9.49866,-40.38525,305.69,0.45,0.63,2026-06-08,328,N,VIIRS,n,2.0NRT,288.6,1.79,N
-9.49679,-40.3863,346.02,0.45,0.63,2026-06-08,328,N,VIIRS,n,2.0NRT,289.45,5.82,N
-9.49285,-40.38401,319.44,0.45,0.63,2026-06-08,328,N,VIIRS,n,2.0NRT,288.54,1.79,N
-9.49206,-40.38823,317.37,0.45,0.63,2026-06-08,328,N,VIIRS,n,2.0NRT,288.9,4.8,N
-6.98595,-42.88698,295.29,0.73,0.76,2026-06-08,328,N,VIIRS,n,2.0NRT,285.21,4.29,N
-20.5462,-43.75059,309.21,0.46,0.63,2026-06-08,330,N,VIIRS,n,2.0NRT,284.34,1.76,N
-20.54519,-43.75505,298.34,0.46,0.63,2026-06-08,330,N,VIIRS,n,2.0NRT,285.84,1.76,N
-20.54448,-43.75016,310.74,0.45,0.63,2026-06-08,330,N,VIIRS,n,2.0NRT,284.78,3.7,N
-20.54319,-43.76398,306.55,0.46,0.63,2026-06-08,330,N,VIIRS,n,2.0NRT,285.36,3.12,N
-20.54218,-43.76848,303.43,0.46,0.63,2026-06-08,330,N,VIIRS,n,2.0NRT,284.12,2.2,N
-20.54139,-43.7635,306.44,0.46,0.63,2026-06-08,330,N,VIIRS,n,2.0NRT,284.84,3.48,N
-20.54036,-43.76795,308.39,0.46,0.63,2026-06-08,330,N,VIIRS,n,2.0NRT,285.02,2.71,N
-20.25315,-40.24087,309.02,0.56,0.51,2026-06-08,330,N,VIIRS,n,2.0NRT,290.01,8.65,N
-20.24732,-40.24511,338.79,0.56,0.51,2026-06-08,330,N,VIIRS,n,2.0NRT,291.46,8.65,N
-20.24259,-40.24401,348.44,0.56,0.51,2026-06-08,330,N,VIIRS,n,2.0NRT,292.5,6.07,N
-20.23786,-40.24289,312.77,0.56,0.51,2026-06-08,330,N,VIIRS,n,2.0NRT,290.43,6.07,N
-20.23566,-40.22958,316.59,0.56,0.51,2026-06-08,330,N,VIIRS,n,2.0NRT,292.37,2.16,N
-20.23536,-40.23106,323.08,0.56,0.51,2026-06-08,330,N,VIIRS,n,2.0NRT,293.11,3.75,N
-20.23459,-40.23494,310.09,0.56,0.51,2026-06-08,330,N,VIIRS,n,2.0NRT,290.37,2.16,N
-20.23425,-40.2364,303.98,0.56,0.51,2026-06-08,330,N,VIIRS,n,2.0NRT,289.64,1.96,N
-20.23244,-40.24569,321.13,0.56,0.51,2026-06-08,330,N,VIIRS,n,2.0NRT,289.79,3.6,N
-20.23202,-40.24713,320.09,0.56,0.51,2026-06-08,330,N,VIIRS,n,2.0NRT,289.49,2.66,N
-20.22987,-40.23382,308.42,0.56,0.51,2026-06-08,330,N,VIIRS,n,2.0NRT,291.71,2.16,N
-20.22953,-40.23528,304.42,0.56,0.51,2026-06-08,330,N,VIIRS,n,2.0NRT,290.79,1.96,N
-19.71614,-40.35363,303.27,0.58,0.52,2026-06-08,330,N,VIIRS,n,2.0NRT,288.39,1.05,N
-19.48626,-42.54968,298.65,0.4,0.6,2026-06-08,330,N,VIIRS,n,2.0NRT,287.56,1.01,N
-19.48158,-42.54441,299.53,0.4,0.6,2026-06-08,330,N,VIIRS,n,2.0NRT,288.13,2.06,N
-19.48075,-42.54823,318.66,0.4,0.6,2026-06-08,330,N,VIIRS,n,2.0NRT,287.73,1.82,N
-25.54508,-42.84155,339.65,0.63,0.54,2026-06-08,332,N,VIIRS,n,2.0NRT,284.3,8.4,N
-25.5433,-42.84336,330.77,0.63,0.54,2026-06-08,332,N,VIIRS,n,2.0NRT,284.0,7.17,N
-25.33257,-42.69604,299.84,0.62,0.54,2026-06-08,332,N,VIIRS,n,2.0NRT,270.96,0.73,N
-25.32762,-42.69469,295.6,0.62,0.54,2026-06-08,332,N,VIIRS,n,2.0NRT,271.03,0.73,N
-24.68412,-42.38507,324.46,0.62,0.54,2026-06-08,332,N,VIIRS,n,2.0NRT,289.85,2.42,N
-24.68275,-42.39119,304.22,0.62,0.54,2026-06-08,332,N,VIIRS,n,2.0NRT,289.85,3.97,N
-24.68019,-42.38245,304.59,0.62,0.54,2026-06-08,332,N,VIIRS,n,2.0NRT,289.92,3.17,N
-24.67919,-42.38375,312.29,0.62,0.54,2026-06-08,332,N,VIIRS,n,2.0NRT,290.36,2.42,N
-24.67886,-42.38858,338.58,0.62,0.54,2026-06-08,332,N,VIIRS,n,2.0NRT,290.5,3.17,N
-24.54698,-42.4644,303.29,0.63,0.54,2026-06-08,332,N,VIIRS,n,2.0NRT,290.65,8.91,N
-24.54674,-42.47036,319.05,0.63,0.54,2026-06-08,332,N,VIIRS,n,2.0NRT,290.65,15.88,N
-24.54558,-42.47063,336.76,0.63,0.54,2026-06-08,332,N,VIIRS,n,2.0NRT,291.48,8.91,N
-24.54538,-42.4766,339.35,0.63,0.54,2026-06-08,332,N,VIIRS,n,2.0NRT,292.62,15.88,N
-24.54418,-42.47686,339.4,0.63,0.54,2026-06-08,332,N,VIIRS,n,2.0NRT,291.17,20.69,N
-22.92486,-43.75624,318.86,0.41,0.6,2026-06-08,332,N,VIIRS,n,2.0NRT,289.75,1.1,N
-22.92393,-43.76023,300.99,0.41,0.6,2026-06-08,332,N,VIIRS,n,2.0NRT,287.79,1.1,N
-22.9221,-43.75427,300.08,0.41,0.6,2026-06-08,332,N,VIIRS,n,2.0NRT,287.5,1.57,N
-22.92119,-43.75826,327.9,0.41,0.6,2026-06-08,332,N,VIIRS,n,2.0NRT,292.34,1.57,N
-22.91467,-43.73527,320.26,0.4,0.6,2026-06-08,332,N,VIIRS,n,2.0NRT,287.58,2.35,N
