latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,temp_max,temp_min,temp_mean,wind_speed,precipitation,humidity,soil_moisture
-6.98311,-42.88001,297.78,0.73,0.76,2026-06-08,325,N,VIIRS,n,2.0NRT,283.87,2.73,N,34.4,24.4,29.6,25.4,0.0,46.958333333333336,0.062
-6.98186,-42.88663,305.21,0.73,0.76,2026-06-08,325,N,VIIRS,n,2.0NRT,285.4,2.73,N,34.4,24.4,29.6,25.4,0.0,46.958333333333336,0.062
-6.98017,-42.87912,299.46,0.72,0.76,2026-06-08,325,N,VIIRS,n,2.0NRT,284.71,4.15,N,34.4,24.4,29.6,25.4,0.0,46.958333333333336,0.062
-6.97889,-42.88566,301.1,0.73,0.76,2026-06-08,325,N,VIIRS,n,2.0NRT,285.83,7.41,N,34.4,24.4,29.6,25.4,0.0,46.958333333333336,0.062
-5.51961,-37.48548,318.88,0.34,0.56,2026-06-08,325,N,VIIRS,n,2.0NRT,288.34,1.11,N,31.8,22.9,27.2,20.8,0.0,66.45833333333333,0.18995833333333334
-5.51907,-37.48854,311.61,0.34,0.56,2026-06-08,325,N,VIIRS,n,2.0NRT,287.23,1.11,N,31.8,22.9,27.2,20.8,0.0,66.45833333333333,0.18995833333333334
-12.40098,-38.34719,307.12,0.59,0.53,2026-06-08,328,N,VIIRS,n,2.0NRT,290.17,2.13,N,27.2,20.1,23.0,15.4,0.2,80.04166666666667,0.4615833333333333
-12.39716,-38.34076,301.53,0.59,0.53,2026-06-08,328,N,VIIRS,n,2.0NRT,289.44,1.92,N,27.2,20.1,23.0,15.4,0.2,80.04166666666667,0.4615833333333333
-12.39612,-38.34626,313.78,0.59,0.53,2026-06-08,328,N,VIIRS,n,2.0NRT,289.55,2.13,N,27.2,20.1,23.0,15.4,0.2,80.04166666666667,0.4615833333333333
-11.02813,-44.32326,310.52,0.76,0.77,2026-06-08,328,N,VIIRS,n,2.0NRT,287.25,3.71,N,31.1,18.1,24.8,12.2,0.0,55.333333333333336,0.06470833333333333
-11.0281,-44.31644,303.53,0.76,0.77,2026-06-08,328,N,VIIRS,n,2.0NRT,287.18,2.26,N,31.1,18.1,24.8,12.2,0.0,55.333333333333336,0.06470833333333333
-11.0266,-44.3236,297.1,0.76,0.77,2026-06-08,328,N,VIIRS,n,2.0NRT,286.84,2.84,N,31.1,18.1,24.8,12.2,0.0,55.333333333333336,0.06470833333333333
-10.69567,-37.05204,302.29,0.52,0.5,2026-06-08,328,N,VIIRS,n,2.0NRT,288.83,1.02,N,27.6,22.5,24.6,20.4,2.8,82.75,0.29341666666666666
-9.49866,-40.38525,305.69,0.45,0.63,2026-06-08,328,N,VIIRS,n,2.0NRT,288.6,1.79,N,30.5,20.1,25.4,22.2,0.0,60.666666666666664,0.059
-9.49679,-40.3863,346.02,0.45,0.63,2026-06-08,328,N,VIIRS,n,2.0NRT,289.45,5.82,N,30.5,20.1,25.4,22.2,0.0,60.666666666666664,0.059
-9.49285,-40.38401,319.44,0.45,0.63,2026-06-08,328,N,VIIRS,n,2.0NRT,288.54,1.79,N,30.6,20.5,25.6,21.6,0.0,60.25,0.165
-9.49206,-40.38823,317.37,0.45,0.63,2026-06-08,328,N,VIIRS,n,2.0NRT,288.9,4.8,N,30.6,20.5,25.6,21.6,0.0,60.25,0.165
-6.98595,-42.88698,295.29,0.73,0.76,2026-06-08,328,N,VIIRS,n,2.0NRT,285.21,4.29,N,34.4,24.4,29.6,25.4,0.0,46.958333333333336,0.062
-20.5462,-43.75059,309.21,0.46,0.63,2026-06-08,330,N,VIIRS,n,2.0NRT,284.34,1.76,N,21.0,8.5,14.3,6.9,0.0,73.33333333333333,0.18229166666666666
-20.54519,-43.75505,298.34,0.46,0.63,2026-06-08,330,N,VIIRS,n,2.0NRT,285.84,1.76,N,21.0,8.5,14.3,6.9,0.0,73.33333333333333,0.18229166666666666
-20.54448,-43.75016,310.74,0.45,0.63,2026-06-08,330,N,VIIRS,n,2.0NRT,284.78,3.7,N,21.0,8.5,14.3,6.9,0.0,73.33333333333333,0.18229166666666666
-20.54319,-43.76398,306.55,0.46,0.63,2026-06-08,330,N,VIIRS,n,2.0NRT,285.36,3.12,N,21.0,8.5,14.3,6.9,0.0,73.33333333333333,0.18229166666666666
-20.54218,-43.76848,303.43,0.46,0.63,2026-06-08,330,N,VIIRS,n,2.0NRT,284.12,2.2,N,21.0,8.5,14.3,6.9,0.0,73.33333333333333,0.18229166666666666
-20.54139,-43.7635,306.44,0.46,0.63,2026-06-08,330,N,VIIRS,n,2.0NRT,284.84,3.48,N,21.0,8.5,14.3,6.9,0.0,73.33333333333333,0.18229166666666666
-20.54036,-43.76795,308.39,0.46,0.63,2026-06-08,330,N,VIIRS,n,2.0NRT,285.02,2.71,N,21.0,8.5,14.3,6.9,0.0,73.33333333333333,0.18229166666666666
-20.25315,-40.24087,309.02,0.56,0.51,2026-06-08,330,N,VIIRS,n,2.0NRT,290.01,8.65,N,25.1,13.9,19.4,12.8,0.0,76.5,0.21333333333333335
-20.24732,-40.24511,338.79,0.56,0.51,2026-06-08,330,N,VIIRS,n,2.0NRT,291.46,8.65,N,25.0,13.9,19.4,12.8,0.0,76.5,0.21333333333333335
-20.24259,-40.24401,348.44,0.56,0.51,2026-06-08,330,N,VIIRS,n,2.0NRT,292.5,6.07,N,25.0,13.9,19.4,12.8,0.0,76.5,0.21333333333333335
-20.23786,-40.24289,312.77,0.56,0.51,2026-06-08,330,N,VIIRS,n,2.0NRT,290.43,6.07,N,25.0,13.9,19.4,12.8,0.0,76.5,0.21333333333333335
-20.23566,-40.22958,316.59,0.56,0.51,2026-06-08,330,N,VIIRS,n,2.0NRT,292.37,2.16,N,25.0,13.9,19.4,12.8,0.0,76.5,0.21333333333333335
-20.23536,-40.23106,323.08,0.56,0.51,2026-06-08,330,N,VIIRS,n,2.0NRT,293.11,3.75,N,25.0,13.9,19.4,12.8,0.0,76.5,0.21333333333333335
-20.23459,-40.23494,310.09,0.56,0.51,2026-06-08,330,N,VIIRS,n,2.0NRT,290.37,2.16,N,25.0,13.9,19.4,12.8,0.0,76.5,0.21333333333333335
-20.23425,-40.2364,303.98,0.56,0.51,2026-06-08,330,N,VIIRS,n,2.0NRT,289.64,1.96,N,25.0,13.9,19.4,12.8,0.0,76.5,0.21333333333333335
-20.23244,-40.24569,321.13,0.56,0.51,2026-06-08,330,N,VIIRS,n,2.0NRT,289.79,3.6,N,25.0,13.9,19.4,12.8,0.0,76.5,0.21333333333333335
-20.23202,-40.24713,320.09,0.56,0.51,2026-06-08,330,N,VIIRS,n,2.0NRT,289.49,2.66,N,25.0,13.9,19.4,12.8,0.0,76.5,0.21333333333333335
-20.22987,-40.23382,308.42,0.56,0.51,2026-06-08,330,N,VIIRS,n,2.0NRT,291.71,2.16,N,25.0,13.9,19.4,12.8,0.0,76.5,0.21333333333333335
-20.22953,-40.23528,304.42,0.56,0.51,2026-06-08,330,N,VIIRS,n,2.0NRT,290.79,1.96,N,25.0,13.9,19.4,12.8,0.0,76.5,0.21333333333333335
-19.71614,-40.35363,303.27,0.58,0.52,2026-06-08,330,N,VIIRS,n,2.0NRT,288.39,1.05,N,26.0,16.8,20.4,10.0,0.0,70.91666666666667,0.20179166666666667
-19.48626,-42.54968,298.65,0.4,0.6,2026-06-08,330,N,VIIRS,n,2.0NRT,287.56,1.01,N,25.0,13.1,18.4,4.9,0.0,72.83333333333333,0.3383333333333334
-19.48158,-42.54441,299.53,0.4,0.6,2026-06-08,330,N,VIIRS,n,2.0NRT,288.13,2.06,N,25.0,13.1,18.4,4.9,0.0,72.83333333333333,0.3383333333333334
-19.48075,-42.54823,318.66,0.4,0.6,2026-06-08,330,N,VIIRS,n,2.0NRT,287.73,1.82,N,25.0,13.1,18.4,4.9,0.0,72.83333333333333,0.3383333333333334
-25.54508,-42.84155,339.65,0.63,0.54,2026-06-08,332,N,VIIRS,n,2.0NRT,284.3,8.4,N,23.0,21.8,22.4,22.1,0.3,70.375,0.0
-25.5433,-42.84336,330.77,0.63,0.54,2026-06-08,332,N,VIIRS,n,2.0NRT,284.0,7.17,N,23.0,21.8,22.4,22.1,0.3,70.375,0.0
-25.33257,-42.69604,299.84,0.62,0.54,2026-06-08,332,N,VIIRS,n,2.0NRT,270.96,0.73,N,23.1,22.0,22.5,23.4,0.5,70.58333333333333,0.0
-25.32762,-42.69469,295.6,0.62,0.54,2026-06-08,332,N,VIIRS,n,2.0NRT,271.03,0.73,N,23.1,22.0,22.5,23.4,0.5,70.58333333333333,0.0
-24.68412,-42.38507,324.46,0.62,0.54,2026-06-08,332,N,VIIRS,n,2.0NRT,289.85,2.42,N,23.4,22.1,22.8,18.9,0.6,68.125,0.0
-24.68275,-42.39119,304.22,0.62,0.54,2026-06-08,332,N,VIIRS,n,2.0NRT,289.85,3.97,N,23.4,22.1,22.8,18.9,0.6,68.125,0.0
-24.68019,-42.38245,304.59,0.62,0.54,2026-06-08,332,N,VIIRS,n,2.0NRT,289.92,3.17,N,23.4,22.1,22.8,18.9,0.6,68.125,0.0
-24.67919,-42.38375,312.29,0.62,0.54,2026-06-08,332,N,VIIRS,n,2.0NRT,290.36,2.42,N,23.4,22.1,22.8,18.9,0.6,68.125,0.0
-24.67886,-42.38858,338.58,0.62,0.54,2026-06-08,332,N,VIIRS,n,2.0NRT,290.5,3.17,N,23.4,22.1,22.8,18.9,0.6,68.125,0.0
-24.54698,-42.4644,303.29,0.63,0.54,2026-06-08,332,N,VIIRS,n,2.0NRT,290.65,8.91,N,23.4,22.1,22.8,20.2,0.6,68.41666666666667,0.0
-24.54674,-42.47036,319.05,0.63,0.54,2026-06-08,332,N,VIIRS,n,2.0NRT,290.65,15.88,N,23.4,22.1,22.8,20.2,0.6,68.41666666666667,0.0
-24.54558,-42.47063,336.76,0.63,0.54,2026-06-08,332,N,VIIRS,n,2.0NRT,291.48,8.91,N,23.4,22.1,22.8,20.2,0.6,68.41666666666667,0.0
-24.54538,-42.4766,339.35,0.63,0.54,2026-06-08,332,N,VIIRS,n,2.0NRT,292.62,15.88,N,23.4,22.1,22.8,20.2,0.6,68.41666666666667,0.0
-24.54418,-42.47686,339.4,0.63,0.54,2026-06-08,332,N,VIIRS,n,2.0NRT,291.17,20.69,N,23.4,22.1,22.8,20.2,0.6,68.41666666666667,0.0
-22.92486,-43.75624,318.86,0.41,0.6,2026-06-08,332,N,VIIRS,n,2.0NRT,289.75,1.1,N,26.0,12.8,18.7,9.5,0.0,78.25,0.291875
-22.92393,-43.76023,300.99,0.41,0.6,2026-06-08,332,N,VIIRS,n,2.0NRT,287.79,1.1,N,26.0,12.8,18.7,9.5,0.0,78.25,0.291875
-22.9221,-43.75427,300.08,0.41,0.6,2026-06-08,332,N,VIIRS,n,2.0NRT,287.5,1.57,N,25.9,12.6,18.6,9.5,0.0,78.25,0.291875
-22.92119,-43.75826,327.9,0.41,0.6,2026-06-08,332,N,VIIRS,n,2.0NRT,292.34,1.57,N,26.0,12.8,18.7,9.5,0.0,78.25,0.291875
-22.91467,-43.73527,320.26,0.4,0.6,2026-06-08,332,N,VIIRS,n,2.0NRT,287.58,2.35,N,25.9,12.6,18.6,9.5,0.0,78.25,0.291875
-22.90914,-43.73376,342.44,0.4,0.6,2026-06-08,332,N,VIIRS,n,2.0NRT,289.3,3.43,N,25.9,12.6,18.6,9.5,0.0,78.25,0.291875
-22.90823,-43.73774,326.91,0.4,0.6,2026-06-08,332,N,VIIRS,n,2.0NRT,288.38,3.43,N,25.9,12.6,18.6,9.5,0.0,78.25,0.291875
-22.90732,-43.74172,310.46,0.41,0.6,2026-06-08,332,N,VIIRS,n,2.0NRT,290.22,4.31,N,25.9,12.6,18.6,9.5,0.0,78.25,0.291875
-22.90459,-43.75369,320.66,0.41,0.6,2026-06-08,332,N,VIIRS,n,2.0NRT,288.28,1.03,N,25.9,12.6,18.6,9.5,0.0,78.25,0.291875
-22.9027,-43.73622,323.07,0.4,0.6,2026-06-08,332,N,VIIRS,n,2.0NRT,289.41,3.43,N,25.9,12.6,18.6,9.5,0.0,78.25,0.291875
-22.89905,-43.75218,297.41,0.41,0.6,2026-06-08,332,N,VIIRS,n,2.0NRT,287.28,1.03,N,25.9,12.6,18.6,9.5,0.0,78.25,0.291875
-22.72257,-43.26851,298.54,0.38,0.59,2026-06-08,332,N,VIIRS,n,2.0NRT,288.34,1.04,N,24.2,14.3,18.8,7.9,0.0,75.625,0.22058333333333335
-22.72174,-43.27228,298.26,0.38,0.59,2026-06-08,332,N,VIIRS,n,2.0NRT,287.24,1.04,N,24.2,14.3,18.8,7.9,0.0,75.625,0.22058333333333335
-22.54941,-40.07136,316.21,0.49,0.49,2026-06-08,332,N,VIIRS,n,2.0NRT,294.66,1.91,N,23.9,22.8,23.3,13.2,0.0,63.541666666666664,0.0
-22.5491,-40.06963,320.06,0.49,0.49,2026-06-08,332,N,VIIRS,n,2.0NRT,294.64,1.9,N,23.9,22.8,23.3,13.2,0.0,63.541666666666664,0.0
-22.51885,-44.11831,297.77,0.44,0.62,2026-06-08,332,N,VIIRS,n,2.0NRT,285.49,1.87,N,23.4,10.2,16.2,10.6,0.0,82.08333333333333,0.28591666666666665
-22.50938,-44.1068,298.85,0.43,0.62,2026-06-08,332,N,VIIRS,n,2.0NRT,286.14,0.9,N,23.8,9.1,16.1,10.5,0.0,81.125,0.3147083333333333
-22.50839,-44.11109,297.24,0.44,0.62,2026-06-08,332,N,VIIRS,n,2.0NRT,286.61,0.9,N,23.8,9.1,16.1,10.5,0.0,81.125,0.3147083333333333
-22.08742,-39.83012,316.97,0.49,0.48,2026-06-08,332,N,VIIRS,n,2.0NRT,293.87,1.35,N,24.0,22.5,23.1,16.2,0.0,65.91666666666667,0.0
-21.20472,-43.81835,317.41,0.45,0.63,2026-06-08,332,N,VIIRS,n,2.0NRT,281.82,1.81,N,20.2,9.2,14.3,11.3,0.0,71.33333333333333,0.22008333333333333
-21.19951,-43.8187,310.41,0.45,0.63,2026-06-08,332,N,VIIRS,n,2.0NRT,280.85,1.21,N,20.2,9.2,14.3,11.3,0.0,71.33333333333333,0.22008333333333333
-21.19896,-43.81687,298.71,0.45,0.63,2026-06-08,332,N,VIIRS,n,2.0NRT,279.63,0.57,N,20.2,9.2,14.3,11.3,0.0,71.33333333333333,0.22008333333333333
-21.17924,-43.98166,300.07,0.46,0.63,2026-06-08,332,N,VIIRS,n,2.0NRT,283.23,1.21,N,20.7,9.0,14.3,10.0,0.0,70.95833333333333,0.20304166666666668
-3.49807,-48.03703,328.32,0.43,0.46,2026-06-08,506,N,VIIRS,n,2.0NRT,290.43,5.28,N,31.3,22.8,25.9,12.7,5.9,88.5,0.4094166666666667
-3.49691,-48.03533,345.89,0.43,0.46,2026-06-08,506,N,VIIRS,n,2.0NRT,290.86,5.84,N,31.3,22.8,25.9,12.7,5.9,88.5,0.4094166666666667
-3.49633,-48.03923,309.24,0.43,0.46,2026-06-08,506,N,VIIRS,n,2.0NRT,290.25,2.77,N,31.3,22.8,25.9,12.7,5.9,88.5,0.4094166666666667
-3.49446,-48.03228,311.39,0.43,0.46,2026-06-08,506,N,VIIRS,n,2.0NRT,290.27,5.28,N,31.3,22.8,25.9,12.7,5.9,88.5,0.4094166666666667
